phate1,phate2,CCAT,velocity_length,A,K,P,WENR,mac,fib,curatedCLUST,OWNsig_stemO_UCell,OWNsig_stemS_UCell,condition
-0.00311035,-0.00307985,0.274730201,186.2420966,0,0,0,0,0,0,TA 1,0.0,0.221648148,WT
0.024983396,0.029212623,0.233823546,152.0588365,0,0,0,0,0,0,Goblet / DCS,0.0,0.122388889,WT
0.037141922,0.007395661,0.195299639,164.7892674,0,0,0,0,0,0,Late Enterocyte,0.0,0.155777778,WT
-0.021989501,0.000884,0.359555854,221.6819734,0,0,0,0,0,0,proCSC,0.01337037,0.085037037,WT
0.041908917,0.035762469,0.230587856,208.8858372,0,0,0,0,0,0,Late Enterocyte,0.0,0.058851852,WT
0.000936,-0.008277474,0.302574412,244.416059,0,0,0,0,0,0,TA 1,0.0,0.168611111,WT
-0.003370238,-0.00800691,0.306615664,258.6002229,0,0,0,0,0,0,TA 1,0.0,0.2005,WT
0.007672833,-0.01098213,0.263266564,239.4635107,0,0,0,0,0,0,Early Enterocyte,0.0,0.09987037,WT
0.041299081,0.017751731,0.203049996,226.5523899,0,0,0,0,0,0,Late Enterocyte,0.0,0.0,WT
0.008485492,0.001444799,0.250279098,97.48224752,0,0,0,0,0,0,revCSC,0.0,0.388407407,WT
0.029776813,0.000425,0.209629431,148.5682345,0,0,0,0,0,0,Late Enterocyte,0.0,0.1355,WT
0.018188294,-0.006166898,0.215323092,176.2959342,0,0,0,0,0,0,Late Enterocyte,0.0,0.152055556,WT
-0.002430519,-0.009770996,0.322920042,257.2286216,0,0,0,0,0,0,TA 1,0.0,0.164611111,WT
0.009395586,0.007250815,0.246864831,158.1119511,0,0,0,0,0,0,ER Stress,0.0,0.202777778,WT
0.011714182,-0.008761414,0.296761209,155.9190317,0,0,0,0,0,0,Early Enterocyte,0.017962963,0.050222222,WT
0.037958885,0.00882651,0.214425793,228.2853711,0,0,0,0,0,0,Late Enterocyte,0.0,0.033925926,WT
0.034160966,0.006815304,0.203385053,153.1429764,0,0,0,0,0,0,Late Enterocyte,0.0,0.109925926,WT
0.001052559,0.01975847,0.289318592,115.7894284,0,0,0,0,0,0,ER Stress,0.0,0.220444444,WT
0.003500733,-0.001082801,0.236251713,203.9989943,0,0,0,0,0,0,revCSC,0.0,0.226962963,WT
0.000663,-0.006845219,0.238563551,174.6615111,0,0,0,0,0,0,TA 1,0.0,0.071333333,WT
-0.002410708,-0.010410834,0.304301004,266.3781055,0,0,0,0,0,0,CSC,0.0,0.162611111,WT
0.024954631,0.037641594,0.229249209,195.3012355,0,0,0,0,0,0,Goblet / DCS,0.0,0.124555556,WT
-0.014211973,-0.009763429,0.354696162,240.3258947,0,0,0,0,0,0,CSC,0.062,0.092351852,WT
0.01237622,-0.012095216,0.272949818,255.9227258,0,0,0,0,0,0,Goblet / DCS,0.0,0.090833333,WT
0.033225658,-0.000254,0.209731166,201.4036291,0,0,0,0,0,0,Late Enterocyte,0.0,0.080166667,WT
-0.002936363,-0.010471606,0.300462344,266.0906441,0,0,0,0,0,0,TA 1,0.0,0.087166667,WT
-0.000862,-0.005088853,0.261537585,239.3978053,0,0,0,0,0,0,TA 1,0.0,0.159888889,WT
0.019258942,0.003381919,0.221349002,219.0701818,0,0,0,0,0,0,Goblet / DCS,0.0,0.121296296,WT
-0.025022077,0.00761385,0.403806289,211.2594465,0,0,0,0,0,0,proCSC,0.111185185,0.188962963,WT
-0.025985829,0.011356687,0.409319755,201.1572337,0,0,0,0,0,0,proCSC,0.534555556,0.259833333,WT
0.013303123,-0.004233407,0.318712858,204.5657038,0,0,0,0,0,0,ER Stress,0.054962963,0.107444444,WT
-0.007365662,-0.010585882,0.29788197,259.8322001,0,0,0,0,0,0,CSC,0.038037037,0.118203704,WT
0.041127134,0.017566632,0.197658498,220.3842908,0,0,0,0,0,0,Late Enterocyte,0.0,0.044759259,WT
0.026151945,-0.007374118,0.260693489,192.6155252,0,0,0,0,0,0,Early Enterocyte,0.0,0.126907407,WT
0.031408365,-0.003664091,0.281944905,256.8754548,0,0,0,0,0,0,Early Enterocyte,0.0,0.062185185,WT
0.002774375,0.019556316,0.292110586,85.86880932,0,0,0,0,0,0,ER Stress,0.0,0.242833333,WT
