phate1,phate2,CCAT,velocity_length,A,K,P,WENR,mac,fib,curatedCLUST,OWNsig_stemO_UCell,OWNsig_stemS_UCell,condition,inverse_vvl,dist,deg,dist_scaled,inv_deg_scaled,potency_med,dynamic_med,VR
-0.00311035,-0.00307985,0.33936473709154313,186.2420966,0,0,0,0,0,0,TA 1,0.0,0.221648148,WT,0.14766044436441203,0.006519985656897729,8,0.09576126048194444,0.3125,0.418506847419291,0.06268998905912201,0.37725648991455196
0.024983396,0.029212623,0.21728366094066065,152.0588365,0,0,0,0,0,0,Goblet / DCS,0.0,0.122388889,WT,0.23160454451080306,0.01756884378571088,6,0.05968061276798531,0.6666666666666665,0.24927463108475012,0.1131515562123829,0.22502246339731571
0.037141922,0.007395661,0.10231361452409327,164.7892674,0,0,0,0,0,0,Late Enterocyte,0.0,0.155777778,WT,0.19627250305497465,0.019347949053041356,6,0.22622824283828086,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.20262889149688126
-0.021989501,0.000884,0.5925168709788367,221.6819734,0,0,0,0,0,0,proCSC,0.01337037,0.085037037,WT,0.08796376334886238,0.008693391670669716,5,0.09569936123966155,1.0,0.680724194680392,0.06900886625798297,0.613312185654429
0.041908917,0.035762469,0.20762712663614113,208.8858372,0,0,0,0,0,0,Late Enterocyte,0.0,0.058851852,WT,0.10718165292125267,0.047343509100896755,5,0.920014160379002,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.2158047472187985
0.000936,-0.008277474,0.42246249327454655,244.416059,0,0,0,0,0,0,TA 1,0.0,0.168611111,WT,0.05878387751564387,0.00669803216653562,5,0.10651166665883388,1.0,0.418506847419291,0.06268998905912201,0.377323884199113
-0.003370238,-0.00800691,0.43452313214020066,258.6002229,0,0,0,0,0,0,TA 1,0.0,0.2005,WT,0.043177168884517975,0.005445139116157784,6,0.0308622803543393,0.6944444444444444,0.418506847419291,0.06268998905912201,0.3768496382791372
0.007672833,-0.01098213,0.3051528676154621,239.4635107,0,0,0,0,0,0,Early Enterocyte,0.0,0.09987037,WT,0.06466859815529288,0.010188948850301164,6,0.049369673565393735,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.28997064957702945
0.041299081,0.017751731,0.12544363879798037,226.5523899,0,0,0,0,0,0,Late Enterocyte,0.0,0.0,WT,0.08121951912244377,0.029478799560428637,10,0.4772909614522632,0.1428571428571429,0.22036948484902785,0.1899124122989119,0.2073968841499117
0.008485492,0.001444799,0.2663933106252121,97.48224752,0,0,0,0,0,0,revCSC,0.0,0.388407407,WT,0.48766080918674903,0.01562367219618046,7,0.7654340750310247,0.5102040816326529,0.5609374172393626,0.054304337184330836,0.5090003145257125
0.029776813,0.000425,0.14507918478101856,148.5682345,0,0,0,0,0,0,Late Enterocyte,0.0,0.1355,WT,0.2423501012363298,0.011081777068043405,5,0.021375983931585685,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.19873849283149608
0.018188294,-0.006166898,0.16207124297101994,176.2959342,0,0,0,0,0,0,Late Enterocyte,0.0,0.152055556,WT,0.16872739176971072,0.012519196067683695,10,0.0569980989330785,0.1428571428571429,0.22036948484902785,0.1899124122989119,0.19941500101060836
-0.002430519,-0.009770996,0.4831816208924775,257.2286216,0,0,0,0,0,0,TA 1,0.0,0.164611111,WT,0.044611158202475604,0.006177521737902359,5,0.07508336998233717,1.0,0.418506847419291,0.06268998905912201,0.3771268602416334
0.009395586,0.007250815,0.2562038343743076,158.1119511,0,0,0,0,0,0,ER Stress,0.0,0.202777778,WT,0.2140952459264823,0.013041806557900847,6,0.3086188637242165,0.6666666666666665,0.3462930749103823,0.2806624696887638,0.32032554066788194
0.011714182,-0.008761414,0.40511367611695837,155.9190317,0,0,0,0,0,0,Early Enterocyte,0.017962963,0.050222222,WT,0.22028146158924836,0.010115120488233802,6,0.04669455794686961,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.289945729106035
0.037958885,0.00882651,0.1593933601778873,228.2853711,0,0,0,0,0,0,Late Enterocyte,0.0,0.033925926,WT,0.07888921107535077,0.021140847477394357,7,0.2706598482882439,0.5102040816326529,0.22036948484902785,0.1899124122989119,0.20347270283421287
0.034160966,0.006815304,0.12644357680640184,153.1429764,0,0,0,0,0,0,Late Enterocyte,0.0,0.109925926,WT,0.2283667983647261,0.019697900985634134,5,0.23490075098721602,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.20279359319120588
0.001052559,0.01975847,0.382902065494216,115.7894284,0,0,0,0,0,0,ER Stress,0.0,0.220444444,WT,0.374864927732088,0.011415801023810063,5,0.22650018698553093,1.0,0.3462930749103823,0.2806624696887638,0.3180207776057767
0.003500733,-0.001082801,0.22453023831136132,203.9989943,0,0,0,0,0,0,revCSC,0.0,0.226962963,WT,0.11515714650130746,0.01165841620807277,5,0.4482972429795189,0.9999999999999999,0.5609374172393626,0.054304337184330836,0.5072781239795829
0.000663,-0.006845219,0.23142964553315704,174.6615111,0,0,0,0,0,0,TA 1,0.0,0.071333333,WT,0.17241879251465533,0.006242663481062493,7,0.07901661304038027,0.47619047619047605,0.418506847419291,0.06268998905912201,0.37715151773806094
-0.002410708,-0.010410834,0.4276153029930019,266.3781055,0,0,0,0,0,0,CSC,0.0,0.162611111,WT,0.03532480934960788,0.007782191195570443,7,0.1344113927681807,0.47619047619047605,0.5283128165839661,0.0431088893442971,0.4760609675113151
0.024954631,0.037641594,0.20363209291006035,195.3012355,0,0,0,0,0,0,Goblet / DCS,0.0,0.124555556,WT,0.13033955094454389,0.02641612341581462,5,0.21210846121277482,1.0,0.24927463108475012,0.1131515562123829,0.22674720822347905
-0.014211973,-0.009763429,0.5780136946833943,240.3258947,0,0,0,0,0,0,CSC,0.062,0.092351852,WT,0.06362645593503044,0.008811615149022409,5,0.2118539937950874,1.0,0.5283128165839661,0.0431088893442971,0.4763948139631355
0.01237622,-0.012095216,0.33405139449238075,255.9227258,0,0,0,0,0,0,Goblet / DCS,0.0,0.090833333,WT,0.04599073726765299,0.04704923707872534,7,0.5675918701075147,0.4285714285714284,0.24927463108475012,0.1131515562123829,0.2307695583158913
0.033225658,-0.000254,0.1453828008621234,201.4036291,0,0,0,0,0,0,Late Enterocyte,0.0,0.080166667,WT,0.11955022913466393,0.013911577492288166,6,0.09150409283298877,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.2000703126646387
-0.002936363,-0.010471606,0.4161592760023485,266.0906441,0,0,0,0,0,0,TA 1,0.0,0.087166667,WT,0.03560685383924736,0.006789324463496995,5,0.11202387397563002,1.0,0.418506847419291,0.06268998905912201,0.37735844022075116
-0.000862,-0.005088853,0.299992934177681,239.3978053,0,0,0,0,0,0,TA 1,0.0,0.159888889,WT,0.06474830722989414,0.006115564256061666,5,0.07134239187027341,1.0,0.418506847419291,0.06268998905912201,0.3771034080539418
0.019258942,0.003381919,0.18005485902538465,219.0701818,0,0,0,0,0,0,Goblet / DCS,0.0,0.121296296,WT,0.09170393114742262,0.02943247615606652,7,0.26407654378390877,0.4285714285714284,0.24927463108475012,0.1131515562123829,0.22733523516510878
-0.025022077,0.00761385,0.7245770632616,211.2594465,0,0,0,0,0,0,proCSC,0.111185185,0.188962963,WT,0.10344097500500185,0.006488256190651135,6,0.01906516568642852,0.6944444444444444,0.680724194680392,0.06900886625798297,0.6127833417592569
-0.025985829,0.011356687,0.7410313507754851,201.1572337,0,0,0,0,0,0,proCSC,0.534555556,0.259833333,WT,0.11997318578963226,0.007782020924449995,5,0.0640268564796776,1.0,0.680724194680392,0.06900886625798297,0.6130936172899253
0.013303123,-0.004233407,0.4706257775881356,204.5657038,0,0,0,0,0,0,ER Stress,0.054962963,0.107444444,WT,0.11421272502226112,0.024560069067703458,5,0.8903293535121262,1.0,0.3462930749103823,0.2806624696887638,0.33665197093865545
-0.007365662,-0.010585882,0.40845845483298726,259.8322001,0,0,0,0,0,0,CSC,0.038037037,0.118203704,WT,0.04190206074375383,0.006070763674681213,5,0.0056623013542349,1.0,0.5283128165839661,0.0431088893442971,0.47550594447782085
0.041127134,0.017566632,0.10935335036189742,220.3842908,0,0,0,0,0,0,Late Enterocyte,0.0,0.044759259,WT,0.08981100486964969,0.029226158687626947,8,0.4710300158078328,0.3571428571428571,0.22036948484902785,0.1899124122989119,0.20727798102085107
0.026151945,-0.007374118,0.29747382944876455,192.6155252,0,0,0,0,0,0,Early Enterocyte,0.0,0.126907407,WT,0.1353046635031427,0.01795452566679219,5,0.33074955586170895,1.0,0.3216785982449472,0.0931566128278711,0.29259188925229246
0.031408365,-0.003664091,0.3608961683080548,256.8754548,0,0,0,0,0,0,Early Enterocyte,0.0,0.062185185,WT,0.04498286815131616,0.024538556253990745,6,0.5693169920535766,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.2948143026809588
0.002774375,0.019556316,0.39123444153735154,85.86880932,0,0,0,0,0,0,ER Stress,0.0,0.242833333,WT,0.5841471979663395,0.01033937996882792,10,0.1721373507002159,0.0,0.3462930749103823,0.2806624696887638,0.3164950168166644
0.042027056,0.022215648,0.16747484819733138,232.4987331,0,0,0,0,0,0,Late Enterocyte,0.0,0.057296296,WT,0.07336848352907602,0.033726462248313493,6,0.5825565303596241,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.20939600796223312
-0.002090666,-0.006329104,0.3301486796325005,223.4478074,0,0,0,0,0,0,TA 1,0.0,0.205407407,WT,0.08548457448855298,0.005550399686507943,6,0.03721788871743881,0.6944444444444444,0.418506847419291,0.06268998905912201,0.3768894815810119
0.026684137,-0.005455475,0.16876272532933045,192.196653,0,0,0,0,0,0,Late Enterocyte,0.0,0.107462963,WT,0.13609154737078258,0.011853124394079663,6,0.04049151194466577,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.19910152043522925
-0.009809315,-0.006499483,0.5728942264782637,256.1362685,0,0,0,0,0,0,TA 1,0.0,0.131592593,WT,0.04576418364443799,0.007953765561944631,6,0.18233255232509488,0.6944444444444444,0.418506847419291,0.06268998905912201,0.3777992052484001
0.032253436,-0.002414281,0.3897041967916631,249.4671654,0,0,0,0,0,0,Early Enterocyte,0.0,0.063351852,WT,0.05302272197057481,0.026102313574559697,9,0.6259785718949201,0.11111111111111116,0.3216785982449472,0.0931566128278711,0.2953421427665084
0.029499111,-0.003752845,0.14117344077362437,183.7535027,0,0,0,0,0,0,Late Enterocyte,0.0,0.077314815,WT,0.15271760521716324,0.011989139552122715,6,0.04386223934076139,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.1991655347323287
-0.022514745,-0.001751731,0.6342323596445545,217.082592,0,0,0,0,0,0,proCSC,0.208740741,0.128351852,WT,0.09461052737622264,0.00973475736160979,7,0.13188952856727487,0.47619047619047605,0.680724194680392,0.06900886625798297,0.6135619298961256
-0.002158902,-0.008784958,0.38447778923395737,260.3085646,0,0,0,0,0,0,TA 1,0.0,0.143722222,WT,0.04141225466047374,0.005717216299545977,11,0.04729023639142099,0.0,0.418506847419291,0.06268998905912201,0.37695262511756006
0.039547289,0.01318969,0.298656483247716,234.9298347,0,0,0,0,0,0,Early Enterocyte,0.0,0.0,WT,0.07027312785723491,0.03642462982283012,6,1.0,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.2988263997032396
0.002806574,0.007476662,0.2813864060191973,76.60434094,0,0,0,0,0,0,TA 2,0.0,0.136296296,WT,0.6820957218711622,0.016791618979445568,6,0.5762529977730344,0.6944444444444444,0.35721306664292857,0.0796423739900973,0.32608117565479117
0.002406401,0.007612417,0.2455896955170157,224.4826682,0,0,0,0,0,0,TA 2,0.0,0.063240741,WT,0.08404978152974366,0.016626156301852147,8,0.5678178024633955,0.3125,0.35721306664292857,0.0796423739900973,0.3260139957568382
0.020375344,-0.008505682,0.2006481498271392,195.9090109,0,0,0,0,0,0,Late Enterocyte,0.0,0.058111111,WT,0.12923483676435657,0.013253556196688172,6,0.07519701029744408,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.19976062092645044
-0.024867317,0.01002117,0.639138143129351,229.5173483,0,0,0,0,0,0,proCSC,0.44462963,0.23762963,WT,0.07725399448669376,0.006728055281253286,6,0.02739880802687006,0.6944444444444444,0.680724194680392,0.06900886625798297,0.6128408512802282
0.022470386,0.006680577,0.2250985630882134,237.7305295,0,0,0,0,0,0,Goblet / DCS,0.0,0.056703704,WT,0.06678567080678496,0.029485585490939197,5,0.26499155291501286,1.0,0.24927463108475012,0.1131515562123829,0.22734558863582208
0.008215927,-0.011873594,0.21090024736108126,200.4509001,0,0,0,0,0,0,Early Enterocyte,0.0,0.134037037,WT,0.12119142455259788,0.009787696452886598,6,0.03483059230669566,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.2898352084206605
0.008962168,-0.013007504,0.38529994165056103,257.7378389,0,0,0,0,0,0,Early Enterocyte,0.0,0.077722222,WT,0.04407699755437408,0.01001157740907279,6,0.042942751723659967,0.6666666666666665,0.3216785982449472,0.0931566128278711,0.2899107785500609
-0.026195323,0.011422864,0.7605815374706502,209.3375621,0,0,0,0,0,0,proCSC,0.47937037,0.248796296,WT,0.1064632235374687,0.00800171874274822,6,0.07166192730532273,0.6944444444444444,0.680724194680392,0.06900886625798297,0.6131463060480731
0.012687534,0.002894392,0.07395536520399215,173.8894721,0,0,0,0,0,0,ER Stress,0.0,0.146259259,WT,0.17418659992821248,0.017418151943983863,6,0.5296388323047934,0.6666666666666665,0.3462930749103823,0.2806624696887638,0.32652874169111773
0.003959782,-0.009241368,0.341230808350964,236.5478314,0,0,0,0,0,0,TA 1,0.0,0.181259259,WT,0.06824830655588252,0.009859227434172816,5,0.2973838898811655,1.0,0.418506847419291,0.06268998905912201,0.37852046195766287
0.035774772,0.006129736,0.14172558124804535,221.3123803,0,0,0,0,0,0,Late Enterocyte,0.0,0.063518519,WT,0.0884876700822664,0.01753922846062263,6,0.181404532448456,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.20177763360004933
0.024614777,0.039161182,0.2328280432758757,205.0667079,0,0,0,0,0,0,Goblet / DCS,0.0,0.1415,WT,0.11338214876993072,0.028070735192427497,5,0.24061540613427884,1.0,0.24927463108475012,0.1131515562123829,0.22706976874155194
-0.003828385,-0.008767618,0.5380367397214281,240.2519761,0,0,0,0,0,0,TA 1,0.0,0.253388889,WT,0.06371548922260664,0.0058120427984879475,6,0.053015837988620806,0.6944444444444444,0.418506847419291,0.06268998905912201,0.37698851890770857
0.041836426,0.022908505,0.18928329868446192,226.0842386,0,0,0,0,0,0,Late Enterocyte,0.0,0.045722222,WT,0.08185516247948568,0.03425460239316741,5,0.5956448984566085,0.9999999999999999,0.22036948484902785,0.1899124122989119,0.20964457231806857
0.024658179,0.038661696,0.27233437316755227,203.4815639,0,0,0,0,0,0,Goblet / DCS,0.0,0.077055556,WT,0.11602403863285368,0.027576555053653147,7,0.232101284455428,0.4285714285714284,0.24927463108475012,0.1131515562123829,0.22697343012977755
